name,longitude,latitude,index,type
Blue Nile,-86.9084243,40.4245509,0,restaurant
Mad Mushroom Pizza,-86.9090249,40.424087,1,restaurant
Basil Thai,-86.907614,40.4227398,2,restaurant
Hala's Grill,-86.9076782,40.4227606,3,restaurant
Chumlies,-86.8944521,40.4188013,4,restaurant
Yori,-86.9294398,40.4254664,5,restaurant
Lotsa Pizza,-86.9086727,40.4240862,6,restaurant
Dusk Till Dawn Fried Chicken & Seafood,-86.9015781,40.4213872,7,restaurant
Noodles & Company,-86.9067776,40.4240649,8,restaurant
Maru Sushi,-86.9067723,40.4245325,9,restaurant
Noodles & I,-86.9070808,40.4243327,10,restaurant
DAKSHIN,-86.9043484,40.4210778,11,restaurant
Happy China,-86.9036772,40.4214361,12,restaurant
O-ishi,-86.9037257,40.4214562,13,restaurant
Walk On's Sports Bistreaux,-86.911108,40.424674,14,restaurant
Pizza and Parm,-86.9113745,40.4251958,15,restaurant
BBQ District,-86.9113724,40.425383,16,restaurant
Latin Inspired,-86.9113809,40.4252736,17,restaurant
Sol Torro,-86.9114758,40.4252857,18,restaurant
Main Street Poke,-86.9111581,40.4251554,19,restaurant
Fresh Fare,-86.9111754,40.4253863,20,restaurant
Sushi Boss,-86.911391,40.4249552,21,restaurant
Aatish,-86.9113895,40.4248851,22,restaurant
Chef Bill Kim,-86.9114617,40.4249303,23,restaurant
Yummy Time,-86.9136865,40.4315026,24,restaurant
Insomnia Cookies,-86.9130139,40.431565,25,restaurant
Greyhouse Coffee,-86.9078559,40.4240741,26,restaurant
HotBox Pizza,-86.9078939,40.4259043,27,restaurant
Blaze Chinese BBQ,-86.9077813,40.4228516,28,restaurant
Dos Amigos Mexican Restaurant,-86.899411,40.4233153,29,restaurant
Strings,-86.907178,40.4240542,30,restaurant
Yatagarasu,-86.906774,40.4229797,31,restaurant
BRU Burger Bar,-86.8956236,40.4189775,32,restaurant
Buffalo Wild Wings,-86.9001534,40.4233317,33,restaurant
Taste of India,-86.9048298,40.4217875,34,restaurant
Bao Dumpling,-86.9048982,40.421676,35,restaurant
RedSeven Kitchen + Cocktail,-86.8952966,40.419291,36,restaurant
The Tap,-86.9068608,40.4229901,37,restaurant
Nom Nom Tacos & Tequila,-86.894409,40.4184146,38,restaurant
Shen Ye @ Harrison Grill,-86.9267646,40.4249593,39,restaurant
Taste,-86.8994654,40.4233137,40,restaurant
Peppercorns Kitchen,-86.9008808,40.4210416,41,restaurant
Rolling Bowl,-86.90776607444685,40.424564652095185,42,restaurant
Bruno's Pizza,-86.90286210417212,40.42231944212185,43,restaurant
O'Bryan's Nine Irish Brothers,-86.90325691469036,40.42298262942239,44,restaurant
Triple XXX Family Restaurant,-86.90543693638969,40.42272122509979,45,restaurant
Unnamed,-86.90209629522296,40.42228051040645,46,restaurant
La Hacienda,-86.90260127847377,40.42333803904703,47,restaurant
River Market Apartments,-86.90380915399058,40.42110583470262,0,apartment
State Street Towers,-86.90495655818944,40.42173269108623,1,apartment
Unnamed,-86.90955938443132,40.42431807045265,2,apartment
Riverbend Apartments,-86.90524964659024,40.41987302302524,3,apartment
Unnamed,-86.90173811907435,40.424190351384276,4,apartment
Unnamed,-86.90096662357618,40.42411413489293,5,apartment
Unnamed,-86.90009852372533,40.4244573835418,6,apartment
