name,longitude,latitude,index,type
Blue Nile,-86.9084243,40.4245509,0,restaurant
Mad Mushroom Pizza,-86.9090249,40.424087,1,restaurant
Basil Thai,-86.907614,40.4227398,2,restaurant
Hala's Grill,-86.9076782,40.4227606,3,restaurant
Yori,-86.9294398,40.4254664,4,restaurant
Lotsa Pizza,-86.9086727,40.4240862,5,restaurant
Noodles & Company,-86.9067776,40.4240649,6,restaurant
Maru Sushi,-86.9067723,40.4245325,7,restaurant
Noodles & I,-86.9070808,40.4243327,8,restaurant
Walk On's Sports Bistreaux,-86.911108,40.424674,9,restaurant
Pizza and Parm,-86.9113745,40.4251958,10,restaurant
BBQ District,-86.9113724,40.425383,11,restaurant
Latin Inspired,-86.9113809,40.4252736,12,restaurant
Sol Torro,-86.9114758,40.4252857,13,restaurant
Main Street Poke,-86.9111581,40.4251554,14,restaurant
Fresh Fare,-86.9111754,40.4253863,15,restaurant
Sushi Boss,-86.911391,40.4249552,16,restaurant
Aatish,-86.9113895,40.4248851,17,restaurant
Chef Bill Kim,-86.9114617,40.4249303,18,restaurant
Greyhouse Coffee,-86.9078559,40.4240741,19,restaurant
HotBox Pizza,-86.9078939,40.4259043,20,restaurant
Blaze Chinese BBQ,-86.9077813,40.4228516,21,restaurant
Strings,-86.907178,40.4240542,22,restaurant
Yatagarasu,-86.906774,40.4229797,23,restaurant
The Tap,-86.9068608,40.4229901,24,restaurant
Shen Ye @ Harrison Grill,-86.9267646,40.4249593,25,restaurant
Rolling Bowl,-86.90776607444685,40.424564652095185,26,restaurant
Unnamed,-86.90955938443132,40.42431807045265,0,apartment
Marstellar,-86.91349631938088,40.42129043320275,1,apartment
Unnamed,-86.90894295826372,40.42495053254536,2,apartment
Granite Student Living,-86.90821740250523,40.4254781806935,3,apartment
Alpha Chi Rho,-86.91946997362787,40.42505550401396,4,apartment
"FarmHouse Fraternity, Purdue Chapter",-86.91948905310906,40.42449609653461,5,apartment
Woodcrest,-86.9063104992748,40.42164191252269,6,apartment
Unnamed,-86.90671485510856,40.42441349953217,7,apartment
Rise on Chauncey,-86.90672152738982,40.42268733310067,8,apartment
Boardwalk Apartments,-86.90657750031767,40.42187252878398,9,apartment
hub,-86.90613664559102,40.422389146787836,10,apartment
Unnamed,-86.9092028359153,40.42647033193512,11,apartment
Unnamed,-86.90948999307152,40.42673185482351,12,apartment
Hi Vine,-86.90778690755269,40.42619678677172,13,apartment
Unnamed,-86.90845955914709,40.4273528674356,14,apartment
Unnamed,-86.9084200105699,40.42639603297121,15,apartment
Unnamed,-86.90846487799278,40.42695412462687,16,apartment
Unnamed,-86.90895288456875,40.42699848307399,17,apartment
Unnamed,-86.90735046840716,40.42599687428328,18,apartment
Unnamed,-86.90744939999999,40.4264693,19,apartment
Unnamed,-86.90716283376995,40.426460667086864,20,apartment
Unnamed,-86.90673761669986,40.42595106663386,21,apartment
Unnamed,-86.90648247518124,40.42593620370152,22,apartment
Unnamed,-86.9059443254227,40.42600789010985,23,apartment
Unnamed,-86.90618224999999,40.42637094999999,24,apartment
Unnamed,-86.9062061434556,40.424162301011314,25,apartment
Campus Edge,-86.90885902393025,40.422556252947075,26,apartment
Crossing At Chauncey Hill,-86.90742012528833,40.421597100603165,27,apartment
The Arches,-86.90719228195303,40.4214205370561,28,apartment
