name,longitude,latitude,index,index_0,type,node_id
Blue Nile,-86.9084243,40.4245509,0,0,restaurant,6660401822
Mad Mushroom Pizza,-86.9090249,40.424087,1,1,restaurant,3053702018
Basil Thai,-86.907614,40.4227398,2,2,restaurant,8023064193
Hala's Grill,-86.9076782,40.4227606,3,3,restaurant,8023064193
Yori,-86.9294398,40.4254664,4,4,restaurant,9837779506
Lotsa Pizza,-86.9086727,40.4240862,5,5,restaurant,11186807069
Noodles & Company,-86.9067776,40.4240649,6,6,restaurant,10012460408
Maru Sushi,-86.9067723,40.4245325,7,7,restaurant,8023920893
Noodles & I,-86.9070808,40.4243327,8,8,restaurant,3200424858
Walk On's Sports Bistreaux,-86.911108,40.424674,9,9,restaurant,10059976705
Pizza and Parm,-86.9113745,40.4251958,10,10,restaurant,8612165779
BBQ District,-86.9113724,40.425383,11,11,restaurant,6102378968
Latin Inspired,-86.9113809,40.4252736,12,12,restaurant,6102378968
Sol Torro,-86.9114758,40.4252857,13,13,restaurant,6102378968
Main Street Poke,-86.9111581,40.4251554,14,14,restaurant,6102378900
Fresh Fare,-86.9111754,40.4253863,15,15,restaurant,6102378900
Sushi Boss,-86.911391,40.4249552,16,16,restaurant,8612165779
Aatish,-86.9113895,40.4248851,17,17,restaurant,3394220034
Chef Bill Kim,-86.9114617,40.4249303,18,18,restaurant,8630724930
Greyhouse Coffee,-86.9078559,40.4240741,19,19,restaurant,3547466337
HotBox Pizza,-86.9078939,40.4259043,20,20,restaurant,10145013656
Blaze Chinese BBQ,-86.9077813,40.4228516,21,21,restaurant,8023064193
Strings,-86.907178,40.4240542,22,22,restaurant,3069532307
Yatagarasu,-86.906774,40.4229797,23,23,restaurant,3690611849
The Tap,-86.9068608,40.4229901,24,24,restaurant,3690611849
Shen Ye @ Harrison Grill,-86.9267646,40.4249593,25,25,restaurant,3061330013
Rolling Bowl,-86.90776607,40.424564652095185,26,26,restaurant,3200424857
Unnamed,-86.90955938,40.42431807045265,27,0,apartment,11187244496
Marstellar,-86.91349632,40.42129043320275,28,1,apartment,8725778766
Unnamed,-86.90894296,40.42495053254536,29,2,apartment,8023189965
Granite Student Living,-86.9082174,40.42547818,30,3,apartment,6660608766
Alpha Chi Rho,-86.91946997,40.42505550401396,31,4,apartment,8677696161
"FarmHouse Fraternity, Purdue Chapter",-86.91948905,40.42449609653461,32,5,apartment,10059993548
Woodcrest,-86.9063105,40.42164191252269,33,6,apartment,9581926789
Unnamed,-86.90671486,40.42441349953217,34,7,apartment,3200441080
Rise on Chauncey,-86.90672153,40.42268733310067,35,8,apartment,9581926776
Boardwalk Apartments,-86.9065775,40.42187252878398,36,9,apartment,8241845053
hub,-86.90613665,40.422389146787836,37,10,apartment,1269942940
Unnamed,-86.90920284,40.42647033193512,38,11,apartment,9960716422
Unnamed,-86.90948999,40.42673185482351,39,12,apartment,37995611
Hi Vine,-86.90778691,40.42619678677172,40,13,apartment,10145013659
Unnamed,-86.90845956,40.42735287,41,14,apartment,10713366578
Unnamed,-86.90842001,40.42639603297121,42,15,apartment,6665285266
Unnamed,-86.90846488,40.42695412462687,43,16,apartment,10713366573
Unnamed,-86.90895288,40.42699848307399,44,17,apartment,8023778716
Unnamed,-86.90735047,40.42599687428328,45,18,apartment,10145013655
Unnamed,-86.9074494,40.4264693,46,19,apartment,3069532318
Unnamed,-86.90716283,40.426460667086864,47,20,apartment,3069532318
Unnamed,-86.90673762,40.42595106663386,48,21,apartment,9573488201
Unnamed,-86.90648248,40.42593620370152,49,22,apartment,9573488217
Unnamed,-86.90594433,40.42600789010985,50,23,apartment,8461388264
Unnamed,-86.90618225,40.42637094999999,51,24,apartment,2873892022
Unnamed,-86.90620614,40.424162301011314,52,25,apartment,6665073960
Campus Edge,-86.90885902,40.422556252947075,53,26,apartment,9523133047
Crossing At Chauncey Hill,-86.90742013,40.421597100603165,54,27,apartment,37969355
The Arches,-86.90719228,40.42142054,55,28,apartment,8241845057
The Arches II,-86.90665046,40.42107565824428,56,29,apartment,8241845059
Beograd,-86.90688224,40.421973641884975,57,30,apartment,9581926767
Chauncey Place,-86.90714123,40.42207839435835,58,31,apartment,9581926767
Unnamed,-86.90712712,40.422316719347414,59,32,apartment,3066663233
Unnamed,-86.90587935,40.42050736765284,60,33,apartment,8599460207
Unnamed,-86.90623013,40.42062764486104,61,34,apartment,8599460213
Unnamed,-86.90592461,40.42078042173319,62,35,apartment,8461822053
Unnamed,-86.90624355,40.42093746,63,36,apartment,7515897155
Unnamed,-86.90652257,40.42733956155268,64,37,apartment,10832314388
Unnamed,-86.90649005,40.42686406898948,65,38,apartment,10713366587
Unnamed,-86.90764135,40.426878033407974,66,39,apartment,10713366571
Aspire at Discovery Park,-86.925244,40.423801337116146,67,40,apartment,8720314833
Aspire at Discovery Park,-86.92426622,40.42364393607591,68,41,apartment,8241779727
Unnamed,-86.92822401,40.423646823051655,69,42,apartment,10083014472
Brown Laboratory of Chemistry,-86.91193963,40.42658408687359,70,0,university building,8677554502
Stewart Center,-86.91275721,40.42504760995711,71,1,university building,2871619611
Heavilon Hall,-86.91188583,40.42624463675587,72,2,university building,3061363942
R. B. Wetherill Laboratory of Chemistry (WTHR),-86.91310038,40.426470559717025,73,3,university building,10059976312
Purdue Student Union,-86.91126955,40.42496999778604,74,4,university building,8612165779
Grissom Hall,-86.91086879,40.42639190356971,75,5,university building,8677547203
Schleman Hall (SCHM),-86.91520867,40.42580784,76,6,university building,10059976672
Haas (Felix) Hall (HAAS),-86.91634032,40.42682349708672,77,7,university building,2871619692
Matthews Hall (MTHW),-86.91637972,40.42472115356379,78,8,university building,9978583296
Psychological Sciences Building (PSYC),-86.91496768,40.42702553744181,79,9,university building,8645411169
Beering Hall (BRNG),-86.91618798,40.42557092085062,80,10,university building,3059902934
Mathematical Sciences Building (MATH),-86.91577719,40.426221886443074,81,11,university building,8642107745
Stone Hall (STON),-86.91530883,40.424625543671404,82,12,university building,877150814
Young Hall (YONG),-86.91069873,40.42283037594741,83,13,university building,8726427040
Yue-Kong Pao Hall,-86.91298028,40.42255400352922,84,14,university building,3061363973
Philip E. Nelson Hall of Food Science (NLSN),-86.91550079,40.42156589689141,85,15,university building,8725696149
Unnamed,-86.91512816,40.42310217,86,16,university building,3059912959
National Soil Erosion Laboratory (SOIL),-86.92022143,40.42130678555061,87,17,university building,3066647342
Life Science Plant and Soils Laboratory,-86.91873386,40.423156822978754,88,18,university building,9522984399
Unnamed,-86.9206206,40.42315550576452,89,19,university building,9973436171
Smith Hall,-86.91694803,40.42348721108103,90,20,university building,3066644656
Grounds Service Building,-86.91992946,40.422864582358564,91,21,university building,8723491146
Herrick Laboratories,-86.9209599,40.42282616462575,92,22,university building,8723491138
Biochemistry Building,-86.91645375,40.42281177428435,93,23,university building,8723491223
Agricultural Administration Building,-86.91438001,40.42340146813198,94,24,university building,8726374524
Lilly Hall,-86.91815393,40.423390836630574,95,25,university building,8723491212
Life Science Ranges (Greenhouse and Service Building),-86.91767942,40.42253547830054,96,26,university building,9974077854
Unnamed,-86.92127219,40.42315530883893,97,27,university building,9844749742
Whistler Hall,-86.91547535,40.42322115824362,98,28,university building,8726374562
Horticulture,-86.91446293,40.42175325749054,99,29,university building,8725778787
Martin C. Jischke Hall of Biomedical Engineering,-86.9209816,40.42213361406938,100,30,university building,3283401297
Krannert School of Management,-86.9109613,40.42369027012077,101,31,university building,9562645918
Unnamed,-86.91448432,40.42091701948569,102,32,university building,6660796926
Agricultural and Biological Engineering (ABE),-86.91660774,40.421704819250664,103,33,university building,7515887276
University Hall (UNIV),-86.91519308,40.42527026329514,104,34,university building,8645624304
Smalley Center,-86.92322504,40.427045553805236,105,35,university building,9971203329
Bindley Bioscience Center,-86.92344105,40.42278464063193,106,36,university building,1718571772
Birck Nanotechnology Center,-86.92462806,40.42267808547495,107,37,university building,9974077708
Mann Hall,-86.9226785,40.423013693179456,108,38,university building,3066618445
